#        BLOCK:          R:        ACTUAL_GOFR:          GOFR_AVE:           ERROR: 
           1      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.306643e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.613286e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.919929e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      9.226572e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.153321e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.383986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.614650e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.845314e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.075979e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.306643e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.537307e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.767971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.998636e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.229300e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.459964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.690629e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.921293e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.151957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.382621e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.613286e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.843950e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.074614e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.305279e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.535943e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.766607e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.997271e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.227936e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.458600e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.689264e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.919929e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.150593e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.381257e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.611922e-01      0.000000e+00      0.000000e+00      0.000000e+00
